test_id,suite,group,phase,confidence,diagnostic,source_junit,outcome,outcome_index,junit_classname,junit_name,evidence_kind,source_log,log_line,evidence_note
test/python/pipe/test_pipenet_tree_reduce.py::test_tree_reduce[default-l1-fp32],pytest,Numerical: tree reduction,runtime result validation,high (observed mismatch; root cause not inferred),AssertionError: Expected pcc 0.192032128572464 >= 0.999,pytest-report.xml,failure,1,python.pipe.test_pipenet_tree_reduce,test_tree_reduce[default-l1-fp32],junit,,,
test/python/pipe/test_reconfigured_computed_address.py::test_reconfigured_receiver_uses_published_address[dram-bf16],pytest,JIT compilation failure (detailed cause unavailable),emulator JIT compilation,high (compilation failure observed; detailed cause not inferred),RuntimeError: jit_compile_kernel: compiler failed (exit 256) for kernel: /tmp/default/ttlang_kernel_compute_5727e2f0.cpp,pytest-report.xml,failure,1,python.pipe.test_reconfigured_computed_address,test_reconfigured_receiver_uses_published_address[dram-bf16],junit,,,Exact parametrized heading and traceback source/function match JUnit; no classifiable diagnostic was captured in that block
test/python/pipe/test_reconfigured_computed_address.py::test_reconfigured_receiver_uses_published_address[dram-f32],pytest,JIT RISC-V / DFB reset-reconfiguration,emulator JIT compilation,high (observed diagnostic),/tmp/default/ttlang_kernel_synchronize_afdd744c.cpp:68:16: error: invalid instruction mnemonic 'sw',pytest-report.xml,failure,1,python.pipe.test_reconfigured_computed_address,test_reconfigured_receiver_uses_published_address[dram-f32],junit+exact-pytest-failure-block,pytest.log,32382,Exact parametrized heading and traceback source/function match JUnit
test/python/pipe/test_reconfigured_computed_address.py::test_reconfigured_receiver_uses_published_address[l1-bf16],pytest,JIT compilation failure (detailed cause unavailable),emulator JIT compilation,high (compilation failure observed; detailed cause not inferred),RuntimeError: jit_compile_kernel: compiler failed (exit 256) for kernel: /tmp/default/ttlang_kernel_compute_5727e2f0.cpp,pytest-report.xml,failure,1,python.pipe.test_reconfigured_computed_address,test_reconfigured_receiver_uses_published_address[l1-bf16],junit,,,Exact parametrized heading and traceback source/function match JUnit; no classifiable diagnostic was captured in that block
test/python/pipe/test_reconfigured_computed_address.py::test_reconfigured_receiver_uses_published_address[l1-f32],pytest,JIT RISC-V / DFB reset-reconfiguration,emulator JIT compilation,high (observed diagnostic),/tmp/default/ttlang_kernel_synchronize_afdd744c.cpp:68:16: error: invalid instruction mnemonic 'sw',pytest-report.xml,failure,1,python.pipe.test_reconfigured_computed_address,test_reconfigured_receiver_uses_published_address[l1-f32],junit+exact-pytest-failure-block,pytest.log,34702,Exact parametrized heading and traceback source/function match JUnit
test/python/test_dfb_reconfiguration.py::test_reconfiguration_supports_compute_dfb_formats[dram-bf16],pytest,JIT compilation failure (detailed cause unavailable),emulator JIT compilation,high (compilation failure observed; detailed cause not inferred),RuntimeError: jit_compile_kernel: compiler failed (exit 256) for kernel: /tmp/default/ttlang_kernel_compute_5a42e182.cpp,pytest-report.xml,failure,1,python.test_dfb_reconfiguration,test_reconfiguration_supports_compute_dfb_formats[dram-bf16],junit,,,Exact parametrized heading and traceback source/function match JUnit; no classifiable diagnostic was captured in that block
test/python/test_dfb_reconfiguration.py::test_reconfiguration_supports_compute_dfb_formats[dram-f32],pytest,JIT RISC-V / DFB reset-reconfiguration,emulator JIT compilation,high (observed diagnostic),/tmp/default/ttlang_kernel_write_bf681e82.cpp:73:16: error: invalid instruction mnemonic 'sw',pytest-report.xml,failure,1,python.test_dfb_reconfiguration,test_reconfiguration_supports_compute_dfb_formats[dram-f32],junit+exact-pytest-failure-block,pytest.log,36837,Exact parametrized heading and traceback source/function match JUnit
test/python/test_dfb_reconfiguration.py::test_reconfiguration_supports_compute_dfb_formats[dram-bfp8-b],pytest,JIT RISC-V / DFB reset-reconfiguration,emulator JIT compilation,high (observed diagnostic),/tmp/default/ttlang_kernel_write_0e78eead.cpp:73:16: error: invalid instruction mnemonic 'sw',pytest-report.xml,failure,1,python.test_dfb_reconfiguration,test_reconfiguration_supports_compute_dfb_formats[dram-bfp8-b],junit+exact-pytest-failure-block,pytest.log,38074,Exact parametrized heading and traceback source/function match JUnit
test/python/test_dfb_reconfiguration.py::test_reconfiguration_supports_compute_dfb_formats[dram-bfp4-b],pytest,JIT RISC-V / DFB reset-reconfiguration,emulator JIT compilation,high (observed diagnostic),/tmp/default/ttlang_kernel_write_39c0bf80.cpp:73:16: error: invalid instruction mnemonic 'sw',pytest-report.xml,failure,1,python.test_dfb_reconfiguration,test_reconfiguration_supports_compute_dfb_formats[dram-bfp4-b],junit+exact-pytest-failure-block,pytest.log,39311,Exact parametrized heading and traceback source/function match JUnit
test/python/test_dfb_reconfiguration.py::test_reconfiguration_supports_compute_dfb_formats[dram-u32],pytest,JIT RISC-V / DFB reset-reconfiguration,emulator JIT compilation,high (observed diagnostic),/tmp/default/ttlang_kernel_write_bca5a04a.cpp:73:16: error: invalid instruction mnemonic 'sw',pytest-report.xml,failure,1,python.test_dfb_reconfiguration,test_reconfiguration_supports_compute_dfb_formats[dram-u32],junit+exact-pytest-failure-block,pytest.log,40548,Exact parametrized heading and traceback source/function match JUnit
test/python/test_dfb_reconfiguration.py::test_reconfiguration_supports_compute_dfb_formats[dram-u16],pytest,JIT RISC-V / DFB reset-reconfiguration,emulator JIT compilation,high (observed diagnostic),/tmp/default/ttlang_kernel_write_0e78eead.cpp:73:16: error: invalid instruction mnemonic 'sw',pytest-report.xml,failure,1,python.test_dfb_reconfiguration,test_reconfiguration_supports_compute_dfb_formats[dram-u16],junit+exact-pytest-failure-block,pytest.log,41785,Exact parametrized heading and traceback source/function match JUnit
test/python/test_dfb_reconfiguration.py::test_reconfiguration_supports_compute_dfb_formats[dram-i32],pytest,JIT RISC-V / DFB reset-reconfiguration,emulator JIT compilation,high (observed diagnostic),/tmp/default/ttlang_kernel_write_bf681e82.cpp:73:16: error: invalid instruction mnemonic 'sw',pytest-report.xml,failure,1,python.test_dfb_reconfiguration,test_reconfiguration_supports_compute_dfb_formats[dram-i32],junit+exact-pytest-failure-block,pytest.log,43022,Exact parametrized heading and traceback source/function match JUnit
test/python/test_dfb_reconfiguration.py::test_reconfiguration_supports_compute_dfb_formats[l1-bf16],pytest,JIT compilation failure (detailed cause unavailable),emulator JIT compilation,high (compilation failure observed; detailed cause not inferred),RuntimeError: jit_compile_kernel: compiler failed (exit 256) for kernel: /tmp/default/ttlang_kernel_compute_5a42e182.cpp,pytest-report.xml,failure,1,python.test_dfb_reconfiguration,test_reconfiguration_supports_compute_dfb_formats[l1-bf16],junit,,,Exact parametrized heading and traceback source/function match JUnit; no classifiable diagnostic was captured in that block
test/python/test_dfb_reconfiguration.py::test_reconfiguration_supports_compute_dfb_formats[l1-f32],pytest,JIT RISC-V / DFB reset-reconfiguration,emulator JIT compilation,high (observed diagnostic),/tmp/default/ttlang_kernel_write_0e78eead.cpp:73:16: error: invalid instruction mnemonic 'sw',pytest-report.xml,failure,1,python.test_dfb_reconfiguration,test_reconfiguration_supports_compute_dfb_formats[l1-f32],junit+exact-pytest-failure-block,pytest.log,45250,Exact parametrized heading and traceback source/function match JUnit
test/python/test_dfb_reconfiguration.py::test_reconfiguration_supports_compute_dfb_formats[l1-bfp8-b],pytest,JIT compilation failure (detailed cause unavailable),emulator JIT compilation,high (compilation failure observed; detailed cause not inferred),RuntimeError: jit_compile_kernel: compiler failed (exit 256) for kernel: /tmp/default/ttlang_kernel_compute_5a42e182.cpp,pytest-report.xml,failure,1,python.test_dfb_reconfiguration,test_reconfiguration_supports_compute_dfb_formats[l1-bfp8-b],junit,,,Exact parametrized heading and traceback source/function match JUnit; no classifiable diagnostic was captured in that block
test/python/test_dfb_reconfiguration.py::test_reconfiguration_supports_compute_dfb_formats[l1-bfp4-b],pytest,JIT compilation failure (detailed cause unavailable),emulator JIT compilation,high (compilation failure observed; detailed cause not inferred),RuntimeError: jit_compile_kernel: compiler failed (exit 256) for kernel: /tmp/default/ttlang_kernel_compute_5a42e182.cpp,pytest-report.xml,failure,1,python.test_dfb_reconfiguration,test_reconfiguration_supports_compute_dfb_formats[l1-bfp4-b],junit,,,Exact parametrized heading and traceback source/function match JUnit; no classifiable diagnostic was captured in that block
test/python/test_dfb_reconfiguration.py::test_reconfiguration_supports_compute_dfb_formats[l1-u32],pytest,JIT compilation failure (detailed cause unavailable),emulator JIT compilation,high (compilation failure observed; detailed cause not inferred),RuntimeError: jit_compile_kernel: compiler failed (exit 256) for kernel: /tmp/default/ttlang_kernel_compute_5a42e182.cpp,pytest-report.xml,failure,1,python.test_dfb_reconfiguration,test_reconfiguration_supports_compute_dfb_formats[l1-u32],junit,,,Exact parametrized heading and traceback source/function match JUnit; no classifiable diagnostic was captured in that block
test/python/test_dfb_reconfiguration.py::test_reconfiguration_supports_compute_dfb_formats[l1-u16],pytest,JIT compilation failure (detailed cause unavailable),emulator JIT compilation,high (compilation failure observed; detailed cause not inferred),RuntimeError: jit_compile_kernel: compiler failed (exit 256) for kernel: /tmp/default/ttlang_kernel_compute_5a42e182.cpp,pytest-report.xml,failure,1,python.test_dfb_reconfiguration,test_reconfiguration_supports_compute_dfb_formats[l1-u16],junit,,,Exact parametrized heading and traceback source/function match JUnit; no classifiable diagnostic was captured in that block
test/python/test_dfb_reconfiguration.py::test_reconfiguration_supports_compute_dfb_formats[l1-i32],pytest,JIT compilation failure (detailed cause unavailable),emulator JIT compilation,high (compilation failure observed; detailed cause not inferred),RuntimeError: jit_compile_kernel: compiler failed (exit 256) for kernel: /tmp/default/ttlang_kernel_compute_5a42e182.cpp,pytest-report.xml,failure,1,python.test_dfb_reconfiguration,test_reconfiguration_supports_compute_dfb_formats[l1-i32],junit,,,Exact parametrized heading and traceback source/function match JUnit; no classifiable diagnostic was captured in that block
test/python/test_dfb_reconfiguration.py::test_reconfiguration_supports_data_movement_u8[dram],pytest,JIT compilation failure (detailed cause unavailable),emulator JIT compilation,high (compilation failure observed; detailed cause not inferred),RuntimeError: jit_compile_kernel: compiler failed (exit 256) for kernel: /tmp/default/ttlang_kernel_compute_3fc8bb8f.cpp,pytest-report.xml,failure,1,python.test_dfb_reconfiguration,test_reconfiguration_supports_data_movement_u8[dram],junit,,,Exact parametrized heading and traceback source/function match JUnit; no classifiable diagnostic was captured in that block
test/python/test_dfb_reconfiguration.py::test_reconfiguration_supports_data_movement_u8[l1],pytest,JIT compilation failure (detailed cause unavailable),emulator JIT compilation,high (compilation failure observed; detailed cause not inferred),RuntimeError: jit_compile_kernel: compiler failed (exit 256) for kernel: /tmp/default/ttlang_kernel_compute_3fc8bb8f.cpp,pytest-report.xml,failure,1,python.test_dfb_reconfiguration,test_reconfiguration_supports_data_movement_u8[l1],junit,,,Exact parametrized heading and traceback source/function match JUnit; no classifiable diagnostic was captured in that block
test/python/test_dfb_reconfiguration.py::test_reconfiguration_composes_varying_caller_runtime_args,pytest,JIT RISC-V / DFB reset-reconfiguration,emulator JIT compilation,high (observed diagnostic),/tmp/default/ttlang_kernel_read_c7b0c9a4.cpp:61:16: error: invalid instruction mnemonic 'lw',pytest-report.xml,failure,1,python.test_dfb_reconfiguration,test_reconfiguration_composes_varying_caller_runtime_args,junit+exact-pytest-failure-block,pytest.log,53348,Exact parametrized heading and traceback source/function match JUnit
test/python/test_dfb_reconfiguration.py::test_reconfiguration_reuses_ids_with_different_capacity_and_cached_execution[dram-one-core-bf16],pytest,JIT RISC-V / DFB reset-reconfiguration,emulator JIT compilation,high (observed diagnostic),/tmp/default/ttlang_kernel_write_f89449d9.cpp:73:16: error: invalid instruction mnemonic 'sw',pytest-report.xml,failure,1,python.test_dfb_reconfiguration,test_reconfiguration_reuses_ids_with_different_capacity_and_cached_execution[dram-one-core-bf16],junit+exact-pytest-failure-block,pytest.log,54565,Exact parametrized heading and traceback source/function match JUnit
test/python/test_dfb_reconfiguration.py::test_reconfiguration_reuses_ids_with_different_capacity_and_cached_execution[dram-one-core-f32],pytest,JIT RISC-V / DFB reset-reconfiguration,emulator JIT compilation,high (observed diagnostic),/tmp/default/ttlang_kernel_write_56c5404e.cpp:73:16: error: invalid instruction mnemonic 'sw',pytest-report.xml,failure,1,python.test_dfb_reconfiguration,test_reconfiguration_reuses_ids_with_different_capacity_and_cached_execution[dram-one-core-f32],junit+exact-pytest-failure-block,pytest.log,56014,Exact parametrized heading and traceback source/function match JUnit
test/python/test_dfb_reconfiguration.py::test_reconfiguration_reuses_ids_with_different_capacity_and_cached_execution[dram-two-core-bf16],pytest,JIT compilation failure (detailed cause unavailable),emulator JIT compilation,high (compilation failure observed; detailed cause not inferred),RuntimeError: jit_compile_kernel: compiler failed (exit 256) for kernel: /tmp/default/ttlang_kernel_compute_e2cbfab7.cpp,pytest-report.xml,failure,1,python.test_dfb_reconfiguration,test_reconfiguration_reuses_ids_with_different_capacity_and_cached_execution[dram-two-core-bf16],junit,,,Exact parametrized heading and traceback source/function match JUnit; no classifiable diagnostic was captured in that block
test/python/test_dfb_reconfiguration.py::test_reconfiguration_reuses_ids_with_different_capacity_and_cached_execution[dram-two-core-f32],pytest,JIT RISC-V / DFB reset-reconfiguration,emulator JIT compilation,high (observed diagnostic),/tmp/default/ttlang_kernel_write_c739a801.cpp:73:16: error: invalid instruction mnemonic 'sw',pytest-report.xml,failure,1,python.test_dfb_reconfiguration,test_reconfiguration_reuses_ids_with_different_capacity_and_cached_execution[dram-two-core-f32],junit+exact-pytest-failure-block,pytest.log,58413,Exact parametrized heading and traceback source/function match JUnit
test/python/test_dfb_reconfiguration.py::test_reconfiguration_reuses_ids_with_different_capacity_and_cached_execution[l1-one-core-bf16],pytest,JIT compilation failure (detailed cause unavailable),emulator JIT compilation,high (compilation failure observed; detailed cause not inferred),RuntimeError: jit_compile_kernel: compiler failed (exit 256) for kernel: /tmp/default/ttlang_kernel_compute_e2cbfab7.cpp,pytest-report.xml,failure,1,python.test_dfb_reconfiguration,test_reconfiguration_reuses_ids_with_different_capacity_and_cached_execution[l1-one-core-bf16],junit,,,Exact parametrized heading and traceback source/function match JUnit; no classifiable diagnostic was captured in that block
test/python/test_dfb_reconfiguration.py::test_reconfiguration_reuses_ids_with_different_capacity_and_cached_execution[l1-one-core-f32],pytest,JIT compilation failure (detailed cause unavailable),emulator JIT compilation,high (compilation failure observed; detailed cause not inferred),RuntimeError: jit_compile_kernel: compiler failed (exit 256) for kernel: /tmp/default/ttlang_kernel_compute_e2cbfab7.cpp,pytest-report.xml,failure,1,python.test_dfb_reconfiguration,test_reconfiguration_reuses_ids_with_different_capacity_and_cached_execution[l1-one-core-f32],junit,,,Exact parametrized heading and traceback source/function match JUnit; no classifiable diagnostic was captured in that block
test/python/test_dfb_reconfiguration.py::test_reconfiguration_reuses_ids_with_different_capacity_and_cached_execution[l1-two-core-bf16],pytest,JIT compilation failure (detailed cause unavailable),emulator JIT compilation,high (compilation failure observed; detailed cause not inferred),RuntimeError: jit_compile_kernel: compiler failed (exit 256) for kernel: /tmp/default/ttlang_kernel_compute_e2cbfab7.cpp,pytest-report.xml,failure,1,python.test_dfb_reconfiguration,test_reconfiguration_reuses_ids_with_different_capacity_and_cached_execution[l1-two-core-bf16],junit,,,Exact parametrized heading and traceback source/function match JUnit; no classifiable diagnostic was captured in that block
test/python/test_dfb_reconfiguration.py::test_reconfiguration_reuses_ids_with_different_capacity_and_cached_execution[l1-two-core-f32],pytest,JIT compilation failure (detailed cause unavailable),emulator JIT compilation,high (compilation failure observed; detailed cause not inferred),RuntimeError: jit_compile_kernel: compiler failed (exit 256) for kernel: /tmp/default/ttlang_kernel_compute_e2cbfab7.cpp,pytest-report.xml,failure,1,python.test_dfb_reconfiguration,test_reconfiguration_reuses_ids_with_different_capacity_and_cached_execution[l1-two-core-f32],junit,,,Exact parametrized heading and traceback source/function match JUnit; no classifiable diagnostic was captured in that block
test/python/test_dfb_reconfiguration.py::test_repeated_reconfiguration_reuses_ids_preserves_live_payload_and_restores_initial_epoch[one-core-dram-bf16],pytest,JIT compilation failure (detailed cause unavailable),emulator JIT compilation,high (compilation failure observed; detailed cause not inferred),RuntimeError: jit_compile_kernel: compiler failed (exit 256) for kernel: /tmp/default/ttlang_kernel_compute_85f18664.cpp,pytest-report.xml,failure,1,python.test_dfb_reconfiguration,test_repeated_reconfiguration_reuses_ids_preserves_live_payload_and_restores_initial_epoch[one-core-dram-bf16],junit,,,Exact parametrized heading and traceback source/function match JUnit; no classifiable diagnostic was captured in that block
test/python/test_dfb_reconfiguration.py::test_repeated_reconfiguration_reuses_ids_preserves_live_payload_and_restores_initial_epoch[one-core-dram-f32],pytest,JIT RISC-V / DFB reset-reconfiguration,emulator JIT compilation,high (observed diagnostic),/tmp/default/ttlang_kernel_read_8074fa3e.cpp:61:16: error: invalid instruction mnemonic 'lw',pytest-report.xml,failure,1,python.test_dfb_reconfiguration,test_repeated_reconfiguration_reuses_ids_preserves_live_payload_and_restores_initial_epoch[one-core-dram-f32],junit+exact-pytest-failure-block,pytest.log,65186,Exact parametrized heading and traceback source/function match JUnit
test/python/test_dfb_reconfiguration.py::test_repeated_reconfiguration_reuses_ids_preserves_live_payload_and_restores_initial_epoch[one-core-l1-bf16],pytest,JIT compilation failure (detailed cause unavailable),emulator JIT compilation,high (compilation failure observed; detailed cause not inferred),RuntimeError: jit_compile_kernel: compiler failed (exit 256) for kernel: /tmp/default/ttlang_kernel_compute_85f18664.cpp,pytest-report.xml,failure,1,python.test_dfb_reconfiguration,test_repeated_reconfiguration_reuses_ids_preserves_live_payload_and_restores_initial_epoch[one-core-l1-bf16],junit,,,Exact parametrized heading and traceback source/function match JUnit; no classifiable diagnostic was captured in that block
test/python/test_dfb_reconfiguration.py::test_repeated_reconfiguration_reuses_ids_preserves_live_payload_and_restores_initial_epoch[one-core-l1-f32],pytest,JIT RISC-V / DFB reset-reconfiguration,emulator JIT compilation,high (observed diagnostic),/tmp/default/ttlang_kernel_write_54ca406a.cpp:73:16: error: invalid instruction mnemonic 'sw',pytest-report.xml,failure,1,python.test_dfb_reconfiguration,test_repeated_reconfiguration_reuses_ids_preserves_live_payload_and_restores_initial_epoch[one-core-l1-f32],junit+exact-pytest-failure-block,pytest.log,67689,Exact parametrized heading and traceback source/function match JUnit
test/python/test_dfb_reconfiguration.py::test_repeated_reconfiguration_reuses_ids_preserves_live_payload_and_restores_initial_epoch[two-core-dram-bf16],pytest,JIT compilation failure (detailed cause unavailable),emulator JIT compilation,high (compilation failure observed; detailed cause not inferred),RuntimeError: jit_compile_kernel: compiler failed (exit 256) for kernel: /tmp/default/ttlang_kernel_compute_85f18664.cpp,pytest-report.xml,failure,1,python.test_dfb_reconfiguration,test_repeated_reconfiguration_reuses_ids_preserves_live_payload_and_restores_initial_epoch[two-core-dram-bf16],junit,,,Exact parametrized heading and traceback source/function match JUnit; no classifiable diagnostic was captured in that block
test/python/test_dfb_reconfiguration.py::test_repeated_reconfiguration_reuses_ids_preserves_live_payload_and_restores_initial_epoch[two-core-dram-f32],pytest,JIT compilation failure (detailed cause unavailable),emulator JIT compilation,high (compilation failure observed; detailed cause not inferred),RuntimeError: jit_compile_kernel: compiler failed (exit 256) for kernel: /tmp/default/ttlang_kernel_compute_85f18664.cpp,pytest-report.xml,failure,1,python.test_dfb_reconfiguration,test_repeated_reconfiguration_reuses_ids_preserves_live_payload_and_restores_initial_epoch[two-core-dram-f32],junit,,,Exact parametrized heading and traceback source/function match JUnit; no classifiable diagnostic was captured in that block
test/python/test_dfb_reconfiguration.py::test_repeated_reconfiguration_reuses_ids_preserves_live_payload_and_restores_initial_epoch[two-core-l1-bf16],pytest,JIT compilation failure (detailed cause unavailable),emulator JIT compilation,high (compilation failure observed; detailed cause not inferred),RuntimeError: jit_compile_kernel: compiler failed (exit 256) for kernel: /tmp/default/ttlang_kernel_compute_85f18664.cpp,pytest-report.xml,failure,1,python.test_dfb_reconfiguration,test_repeated_reconfiguration_reuses_ids_preserves_live_payload_and_restores_initial_epoch[two-core-l1-bf16],junit,,,Exact parametrized heading and traceback source/function match JUnit; no classifiable diagnostic was captured in that block
test/python/test_dfb_reconfiguration.py::test_repeated_reconfiguration_reuses_ids_preserves_live_payload_and_restores_initial_epoch[two-core-l1-f32],pytest,JIT compilation failure (detailed cause unavailable),emulator JIT compilation,high (compilation failure observed; detailed cause not inferred),RuntimeError: jit_compile_kernel: compiler failed (exit 256) for kernel: /tmp/default/ttlang_kernel_compute_85f18664.cpp,pytest-report.xml,failure,1,python.test_dfb_reconfiguration,test_repeated_reconfiguration_reuses_ids_preserves_live_payload_and_restores_initial_epoch[two-core-l1-f32],junit,,,Exact parametrized heading and traceback source/function match JUnit; no classifiable diagnostic was captured in that block
test/python/test_dfb_reconfiguration.py::test_live_payload_crosses_reconfiguration_and_cached_execution[dram-bf16],pytest,JIT compilation failure (detailed cause unavailable),emulator JIT compilation,high (compilation failure observed; detailed cause not inferred),RuntimeError: jit_compile_kernel: compiler failed (exit 256) for kernel: /tmp/default/ttlang_kernel_live_payload_compute_429bbfc6.cpp,pytest-report.xml,failure,1,python.test_dfb_reconfiguration,test_live_payload_crosses_reconfiguration_and_cached_execution[dram-bf16],junit,,,Exact parametrized heading and traceback source/function match JUnit; no classifiable diagnostic was captured in that block
test/python/test_dfb_reconfiguration.py::test_live_payload_crosses_reconfiguration_and_cached_execution[dram-f32],pytest,JIT RISC-V / DFB reset-reconfiguration,emulator JIT compilation,high (observed diagnostic),/tmp/default/ttlang_kernel_live_payload_writer_1079a9fc.cpp:73:16: error: invalid instruction mnemonic 'sw',pytest-report.xml,failure,1,python.test_dfb_reconfiguration,test_live_payload_crosses_reconfiguration_and_cached_execution[dram-f32],junit+exact-pytest-failure-block,pytest.log,74687,Exact parametrized heading and traceback source/function match JUnit
test/python/test_dfb_reconfiguration.py::test_live_payload_crosses_reconfiguration_and_cached_execution[l1-bf16],pytest,JIT compilation failure (detailed cause unavailable),emulator JIT compilation,high (compilation failure observed; detailed cause not inferred),RuntimeError: jit_compile_kernel: compiler failed (exit 256) for kernel: /tmp/default/ttlang_kernel_live_payload_compute_429bbfc6.cpp,pytest-report.xml,failure,1,python.test_dfb_reconfiguration,test_live_payload_crosses_reconfiguration_and_cached_execution[l1-bf16],junit,,,Exact parametrized heading and traceback source/function match JUnit; no classifiable diagnostic was captured in that block
test/python/test_dfb_reconfiguration.py::test_live_payload_crosses_reconfiguration_and_cached_execution[l1-f32],pytest,JIT RISC-V / DFB reset-reconfiguration,emulator JIT compilation,high (observed diagnostic),/tmp/default/ttlang_kernel_live_payload_writer_69fa5e4d.cpp:73:16: error: invalid instruction mnemonic 'sw',pytest-report.xml,failure,1,python.test_dfb_reconfiguration,test_live_payload_crosses_reconfiguration_and_cached_execution[l1-f32],junit+exact-pytest-failure-block,pytest.log,76979,Exact parametrized heading and traceback source/function match JUnit
